"Title","Event Code","Event Rank","Attendance Record","Start Date","End Date","Region","Location","Event Type","Event Location: Street","Event Location: City","Event Location: State","Event Location: Country/Region","Venue","Event Website","Booth Size","Booth%23","Status","Sector","Organizing Company","Business Lines","Show Captain","Ship By Date","Registration Deadline","Mockups/Models","Action Status","Main Event Subject","Notes","Related Documents","Days until Start","Staff_Assigned","Email Header"
"WSTS 2026","WSTS26",,"Existing","5/4/2026","5/7/2026","USA","Known","[""Walking""]","900 Bellevue Way NE","Bellevue","WA","USA","Hyatt Regency Bellevue","https://wsts.atis.org/",,,"Planning","GCI","ST4D","[""ST4D""]","CAMERON",,,,"Level of participation + products + participants TBC ","Network synchronization & timing distribution","Requested by : N/A - Usual Yearly participation
BL: ST4D Timing (US)
Topic : Business Devlopment (Open Timing)
Action : Check out if team is still willing to participate (Tanner Cheek, Jeremy Onyan and David Sohn) and then if yes take the action to book a booth",,"72",,"Reserved_ImageAttachment_[11]_[EmailHeader][32]_[40dcf016d5fd4a16abc202fb2e725c1d][2]_[45].png"
"IEEE International Frequency Control Symposium","IFCS26",,"Existing","5/10/2026","5/13/2026","USA","Known","[""Exhibition""]","333 S Franklin St","Tampa","FL","USA","Tampa Convention Center","https://2026.ieee-ifcs.org/",,,"Planning","GCI","STT","[""STT""]","CAMERON",,,,"Interest confirmed / Budget + participants + products TBC","precision timing, frequency control(Atomic clocks
Quartz & MEMS oscillators)","Requested by : 
BL: TBC
Topic : Business Devlopment (Open Timing)
Action : ",,"78","Cameron Chambers",
"NEW : USA SPACE TECH EXPO ","STE26",,"NEW","5/13/2026","5/15/2026","USA","Known","[""Walking""]","300 E Ocean Blvd","LongBeach","CA","USA","Long Beach Convention Center",,,,"Planning","GCI","SDSI","[""SDSI""]","CAMERON",,,,"If participation confirmed, entrance to be taking care by the sales","RF systems, PNT technology, timing for space mission","Requested by : 
BL: INS ?
Topic : Business Devlopment (Open Timing)
Action : Walking or exhibition TBC",,"81",,
"XPONENTIAL 2026","XPO26",,"Existing","5/19/2026","5/21/2026","USA","Known","[""Exhibition""]","1 Washington Blvd","Detroit","MI","USA","HuntingtonPlace","https://www.auvsi.org/event/xponential-2026/",,,"Planning","ADG","ST4D ","[""ST4D""]","CAMERON",,,,"Interest / budget confirmed / participants + products TBC","UAV/UAS navigation, sensors, PNT resilience","Requested by : N/A - Usual Yearly participation
BL: All 
Topic : Business Devlopment 
Action : Check Out booth Availability & Pricing",,"87","Cameron Chambers;Pierre Desjardins",
"SOFIC
(Special Operations Forces Industry Conference)","SOFIC26",,"Existing","5/18/2026","5/21/2026","USA","Known",,"333 S Franklin St","Tampa","FL","USA","Tampa Convention Center","https://sofweek.org/",,,"Planning","GCI","SDSI","[""SDSI""]","CAMERON",,,,"Waiting for SDSI return ","Electronic warfare, RF sensing, secure timing","Requested by : No one 
BL: 
Topic : 
Action : Check the PNT interest ? ",,"86",,
"STAC NY SPRING 2026","STACNYS26",,"Existing","5/20/2026","5/20/2026","USA","Unknown","[""Exhibition""]",,,,,,"https://stacresearch.com/events/",,,"Planning","GCI","ST4D","[""ST4D""]","CAMERON",,,,"Budget confirmed / Participants + products TBC ","Timing for financial markets & high-precision trading, Sychronization.","Requested by :
BL: 
Topic : 
Action :",,"88","Cameron Chambers",
"CANSEC  2026","CAN26",,"Existing","5/27/2026","5/28/2026","USA","Known","[""Exhibition""]","4899 Uplands Dr","Ottawa","ON","Canada","EYCentre","https://www.defenceandsecurity.ca/CANSEC/",,,"Planning","ADG","SED Space  ","[""SED Space""]","CAMERON",,,,"Interest / Budget confirmed - participants + products TBC","Canadian Defense Navigation, timing, and ruggedized mission hardware","Requested by : N/A - Usual Yearly participation
BL: All 
Topic : Business Devlopment 
Action : Coordinate with SED ",,"95","Cameron Chambers;Scott McAvoy;Andre Demers",
"STAC CHICAGO SPRING 2026","STACCHIS26",,"Existing","6/4/2026","6/4/2026","USA","Unknown","[""Walking""]",,,,,,"https://stacresearch.com/events/",,,"Planning","GCI","ST4D","[""ST4D""]","CAMERON",,,,"If participation confirmed, entrance to be taking care by the sales","Timing for financial markets & high-precision trading, Sychronization.","Requested by :
BL: 
Topic : 
Action :",,"103",,
"Quantum World (previously Quantum Tech USA)","QTECH26",,"Existing","6/24/2026","6/26/2026","USA","Known","[""Exhibition""]","415 Summer St","Boston","MA","USA","Boston Convention and Exhibition Center","https://www.alphaevents.com/events-quantumtechus",,,"Planning","GCI","ST4D","[""ST4D""]","CAMERON",,,,"Interest + budget confirmed / participants + products TBC","Quantum-enhanced navigation & PNT","Requested by : N/A - Usual Yearly participation
BL: ST4D Timing
Topic : New solution promotion
Action : Check Out booth Availability & Pricing",,"123","Cameron Chambers;Janis Dewitt",
"APCO 2026","APCO26",,"Existing","8/2/2026","8/5/2026","USA","Known","[""Exhibition""]","900 E Market St","SanAntonio","TX","USA","Henry B. Gonzlez Convention Center","https://apco2026.org/",,,"Planning","GCI","ST4D","[""ST4D""]","CAMERON",,,,"Interest + budget confirmed / participants + products TBC","Public-safety communications systems, Timing & synchronization for emergency response networks","Requested by : 
BL:
Topic : 
Action : ",,"162","Cameron Chambers;Janis Dewitt",
"FEL 2026 - Free Electron Laser Conference","FEL26",,"Existing","8/23/2026","8/29/2026","USA","Known","[""Walking""]","2575 Sand Hill Rd","Stanford","CA","USA","SLAC National Accelerator Laboratory",,,,"Planning","GCI","SCT","[""SCT""]","CAMERON",,,,"If participation confirmed, entrance to be taking care by the sales","Accelerator timing & RF synchronization
µTCA timing modules","Requested by : R&T
BL: R&T
Topic : 
Action :",,"183","Cameron Chambers",
"SMALLSAT SYMPOSIUM 2026","SMALL26",,"Existing","8/1/2026","8/1/2026","USA","Known","[""Exhibition""]","100 S W Temple St","SaltLakeCity","UT","USA","Salt Palace Convention Center",,,,"Planning","ADG","SED Space","[""SED Space""]","CAMERON",,,,"Interest + budget confirmed / participants + products TBC","LEO constellation architectures,  timing for space-based PNT","Requested by : N/A - Usual Yearly participation
BL: All 
Topic : Business Devlopment 
Action : Coordinate with SED Space",,"161","Cameron Chambers;Pierre Desjardins;Marco Ventresca;Scott McAvoy",
"NEW: GET-CI  ","GETCI26",,"NEW","8/1/2026","8/1/2026","USA","Unknown","[""Walking""]",,,,,,"https://www.dhs.gov/group/13025/publication/gps-equipment-testing-critical-infrastructure-fact-sheet",,,"Planning","GCI","ST4D","[""ST4D""]","CAMERON",,,,"If participation confirmed, entrance to be taking care by the sales","Critical infrastructure resilience
Secure timing for utilities, telecom, ","Requested by : Jaime Jaramillo <jaime.jaramillo@nav-timing.safrangroup.com>
BL: ST4D Timing (US)
Topic : Business Devlopment (Open Timing)
Action : N/A",,"161",,
"IBIC'26 - 15th International Beam Instrumentation Conference","IBIC26",,"Existing","8/30/2026","9/4/2026","USA","Unknown","[""Walking""]",,,,,,,,,"Planning","GCI","SCT","[""SCT""]","CAMERON",,,,"If participation confirmed, entrance to be taking care by the sales","µTCA LLRF modules, Beam diagnostics timing distribution","Requested by : R&T
BL: R&T
Topic : 
Action :",,"190","Cameron Chambers",
"Applied Superconductivity","ASC26",,"Existing","9/6/2026","9/11/2026","USA","Known","[""Walking""]","1000 Fort Duquesne Blvd","Pittsburgh","PA","USA","David L. Lawrence Convention Center","https://www.appliedsuperconductivity.org/",,,"Planning","GCI","SCT","[""SCT""]","CAMERON",,,,"If participation confirmed, entrance to be taking care by the sales","Superconducting timing systems
oscillators / low-noise references","Requested by : R&T
BL: R&T
Topic : 
Action :",,"197",,
"ION GNSS+ 2026","GNSS26",,"Existing","9/14/2026","9/18/2026","USA","Known","[""Exhibition""]","9801 International Dr","Orlando","FL","USA","Hyatt Regency Orlando","https://www.ion.org/gnss/future-meetings.cfm",,,"Planning","GCI","ST4D","[""ST4D""]","CAMERON",,,,"Interest + budget confirmed / participants + products TBC","GNSS technologies & multi-sensor navigation","Requested by : N/A - Usual Yearly participation
BL: 
Topic : Business Devlopment 
Action : ",,"205","Cameron Chambers;Pierre Desjardins;Marco Ventresca;Scott McAvoy;Andre Demers",
"NEW: Quantum World Congress","QWC26",,"NEW","9/22/2026","9/24/2026","USA","Known","[""Walking""]","1300 Pennsylvania Ave NW","Washington","DC","USA","Ronald Reagan Building and International Trade Center","https://www.quantumworldcongress.com/",,,"Planning","GCI","ST4D","[""SCT"",""ST4D""]","CAMERON",,,,"If participation confirmed, entrance to be taking care by the sales","Quantum clocks & frequency standards","Requested by : On the SCT Provided Events List
BL: R&T
Topic : 
Action :",,"213",,
"NEW:NASPI Work Group Meeting","NASPI26",,"NEW","4/14/2026","4/15/2026","USA","Known","[""Walking""]",,"Charlotte","NC","USA",,"https://www.naspi.org/events/naspi-work-group-hybrid-meeting-and-vendor-show-1",,,"Planning","GCI","ST4D","[""ST4D""]","CAMERON",,,,"Interest + budget confirmed / participants + products TBC","PMU & time-synchronized. Quantum backup & trusted PNT for utilities","Requested by : Requested by : Jaime Jaramillo
BL: R&T
Topic : 
Action : N/A",,"52","Cameron Chambers;Jaime Jaramillo",
"AUSA 2026 ","AUSA26",,"Existing","10/1/2026","10/1/2026","USA","Known","[""Exhibition""]","801AllenY.LewPlaceNW","Washington","DC","USA","WalterE.Washington Convention Center","https://www.ausa.org/meet",,,"Planning","ADG","SDSI","[""SDSI"",""SHE""]","ALYSSA",,,,"Budget/ products/ participants TBC ","Tactical PNT, comms, battlefield mobility","Requested by : N/A - Usual Yearly participation
BL: All
Topic : New solution promotion
Action : Coordinate with Safran DSI 

Comments : SFS budget ",,"222","Cameron Chambers;Pierre Desjardins;Scott McAvoy",
"NEW : EXPONAVAL","EXPO26",,"NEW","12/1/2026","12/3/2026","USA","Known","[""Exhibition""]","Av. Jorge Montt S/N","Santiago deChile",,"Chile","Base Naval Talcahuano",,,,"Planning","ADG","ST4D","[""SED Space"",""ST4D""]","CAMERON",,,,"Our wish to participate TBC 
Walking or exhibit ? DEF walks there what about us ? cc Mostra Bid Brazil below","Maritime PNT, navigation, radar, and EW systems","Requested by : N/A - Usual Yearly participation
BL: All
Topic : New solution promotion
Action : interest TBC ",,"283","Cameron Chambers",
"NEW : MOSTRA BID BRAZIL","MBB26",,"NEW","12/1/2026","12/3/2026","USA","Known","[""Walking""]","Eixo Monumental","Braslia",,"Brazil","Centro de Convenes Ulysses Guimares","https://mostrabidbrasil.com/",,,"Planning","ADG","ST4D","[""SED Space"",""ST4D""]","CAMERON",,,,"If participation confirmed, entrance to be taking care by the sales
Walking or exhibit - DEF exhibit there what about us ? ","Latin American defense modernization","Requested by : N/A - Usual Yearly participation
BL: All
Topic : New solution promotion
Action : Coordinate with SED",,"283","Pierre Desjardins",
"STAC CHICAGO  FALL 2026","STACCHIF26",,"Existing",,,"USA","Unknown","[""Walking""]",,,,,,"https://stacresearch.com/events/




",,,"Planning","GCI","ST4D","[""ST4D""]","CAMERON",,,,"If participation confirmed, entrance to be taking care by the sales","Timing for financial markets & high-precision trading, Sychronization.","Requested by :
BL: 
Topic : 
Action :",,,,
"STAC NY FALL 2026","STACNYF26",,"Existing",,,"USA","Unknown","[""Exhibition""]",,,,,,"https://stacresearch.com/events/",,,"Planning","GCI","ST4D","[""ST4D""]","CAMERON",,,,"Budget confirmed / Participants + products TBC ","Timing for financial markets & high-precision trading, Sychronization.","Requested by :
BL: 
Topic : 
Action :",,,"Cameron Chambers",
"NBAA/BACE","NBAA26",,"Existing","10/20/2026","10/22/2026","USA","Known","[""Exhibition""]","300 Convention Center Dr","Las Vegas","NV","USA","Las Vegas Convention Center West Hall","https://nbaa.org/events/2026-nbaa-business-aviation-convention-exhibition-nbaa-bace/",,,"Planning","GCI","SDSI","[""SDSI""]","ALYSSA",,,,"SFS budget",,"Requested by :
BL: 
Topic : 
Action :",,"241","Cameron Chambers",
"CANADIAN ARMED FORCES OUTLOOKS
CAF OUTLOOKS","CAF26",,"Existing","4/7/2026","4/9/2026","USA","Known","[""Walking""]","55 Colonel By Dr","Ottawa","ON","Canada","Shaw Centre","https://www.defenceandsecurity.ca/CAF/",,,"Planning","ADG","ST4D ","[""ST4D""]","CAMERON",,,,"If participation confirmed, entrance to be taking care by the sales","Communications, PNT, cyber, and ISR modernization","Requested by :
BL: 
Topic : 
Action : ",,"45","Cameron Chambers;Scott McAvoy",
"NEW : Aerospace and Defense TSN Summit","TSN26",,"NEW",,,"USA","Unknown","[""Exhibition""]",,,,,,"https://adtsummit.com/",,,"Planning","GCI","ST4D ","[""ST4D""]","CAMERON",,,,"Budget allocation R&T or PNT TBC ?","Time-Sensitive Networking for aerospace & defense","Requested by :
BL: R&T
Topic : 
Action :",,,,
"AUSA GFS","AUSAGF26",,"Existing","3/24/2026","3/26/2026","USA","Known","[""Exhibition""]","700 Monroe Street","Huntsville","Alabama","United States","Von Braun Center","https://meetings.ausa.org/globalforce/2025/attend.cfm","10x20","NA","Up to Date","Defense","SED Space","[""SED Space""]","ALYSSA",,,,,,,,"31","Cameron Chambers",
"2026 SMALLSAT SYMPOSIUM (SILICON VALLEY)","SMALLCA26",,"NEW","2/10/2026","2/12/2026","USA","Known","[""Walking""]","1401 N Shoreline Blvd","Mountain View","California","United States","Computer History Museum","https://smallsatshow.com/",,,"Planning","GCI","ST4D","[""ST4D""]","CAMERON",,,,,,,,"-10","Pierre Desjardins",
"Surface Navy Association 2026","SNA2026",,"Existing","1/13/2026","1/15/2026","USA","Known","[""Walking""]","2799 Richmond Hwy","Arlington","VA","USA","Hyatt Regency Crystal City","https://surfacewarfare.org/events/national-symposium/",,,"Planning","ADG","SFS",,"ALYSSA",,,,,,"Requested by : SFS
BL: 
Topic : 
Action :",,"-38",,
"IDGA Future Indirect Fires Arlington","IDGA26",,"Existing","1/27/2026","1/28/2026","USA","Known","[""Walking""]","801 N Glebe Rd","Arlington","VA","USA","The Westin Arlington","https://www.idga.org/events-futureindirectfires",,,"Planning","ADG","SFS",,"ALYSSA",,,,,,,,"-24",,
"AFA Warfare Symposium 2026","AFA26",,"Existing","2/23/2026","2/25/2026","USA","Known","[""Walking""]","6700 N Gaylord Rockies Blvd","Aurora","CO","USA","Gaylord Rockies Resort & Convention Center","https://www.afa.org/afa-warfare-symposium/",,,"Planning","ADG","SFS",,"ALYSSA",,,,,,,,"2",,
"Modern Day Marine 2026","MDM26",,"Existing","4/28/2026","4/30/2026","USA","Known","[""Walking""]","801 Allen Y Lew Pl NW","Washington","DC","USA","Walter E. Washington Convention Center","https://www.mca-marines.org/modern-day-marine-2/",,,"Planning","ADG","SFS",,"ALYSSA",,,,,,"Requested by.Jesse M
BL: SFS
Topic : 
Action : DSI Prioritized Show
Lowest priority of big 4",,"66",,
"A-PNT Summit 2026","APNT26",,"Existing","4/7/2026","4/7/2026","USA","Known","[""Exhibition""]","1201 15th St NW","Washington","DC","USA"," National Housing Center","https://pnt.dsigroup.org/",,,"Planning","ADG","SFS","[""ST4D""]","ALYSSA",,,,,,"Requested by : Danny, Jacob and Moderntech
BL: ST4D Timing
Topic : White Rabbit and TimeLynx as a new solution promotion
Action : Confirm we can contribute $7k for co-sponsorship. - previously walking event
Level of participation TBC to allocate a budget - 7000e request - sales didn't show up in 2025 
",,"45",,
"Pax River Expo 2026","PXRE26",,"Existing","6/20/2026","6/21/2026","USA","Known","[""Exhibition""]","22268 Cedar Point Rd","Patuxent River","MD","USA","naval air station patuxent river","https://www.paxriverairshow.com/",,,"Planning","ADG","SFS",,"ALYSSA",,,,,,"Requested by:
BL: SFS
Topic : 
Action :
",,"119",,
"AAAA 2026","AAAA26",,"Existing","4/15/2026","4/17/2026","USA","Known","[""Walking""]","2800 Opryland Dr","Nashville","TN","USA","Gaylord Opryland Resort & Convention Center","https://s7.goeshow.com/aaaa/missionsolutions/2026/index.cfm",,,"Planning","ADG","SFS",,"ALYSSA",,,,,,"Requested by Adam P, Demetri X
BL: SFS
Topic : 
Action :
",,"53",,
"GXP360 2026","GXP26",,"Existing","5/18/2026","5/20/2026","USA","Known","[""Walking""]","10950 N Torrey Pines Rd","La Jolla","CA","USA","Hilton La Jolla Torrey Pines","https://www.geospatialexploitationproducts.com/content/gxp360/",,,"Planning","ADG","SFS",,"ALYSSA",,,,,"GEO AI - hosted by BAE","Requested by Lee R
BL: SFS
Topic : 
Action :
GEO AI - hosted by BAE",,"86",,
"ION JNC 2026","JNC26",,"Existing","6/1/2026","6/4/2026","USA","Known","[""Exhibition""]","1 W Rivercenter Blvd","Covington","KY","USA","Northern Kentucky Convention Center","https://www.ion.org/jnc/exhibits.cfm",,,"Planning","ADG","SFS",,"ALYSSA",,,,,,"Requested by Lee R
BL: SFS
Topic : 
Action :
Trevor and Jaemin working abstracts",,"100","Scott McAvoy",
"Armored Vehicles Conference 2026","ARVE26",,"Existing","6/23/2026","6/24/2026","USA","Known","[""Walking""]","1275 S. Huron Street"," Ypsilanti","MI","USA","Ann Arbor Marriott Ypsilanti at Eagle Crest","https://www.idga.org/events-armoredvehiclesusa",,,"Planning","ADG","SFS",,"ALYSSA",,,,,,"Requested by
Topic : 
Action :
Jesse M",,"122",,
"AOC EW Capability Gaps and Enabling Technologies 2026","AOCEW26",,"Existing","6/8/2026","6/10/2026","USA","Known","[""Walking""]","27582 SGM Gene Shaw Technology Drive, Suite B","Crane","IN","USA","SAIC","https://crows.org/event/crane2026/#agenda",,,"Planning","ADG","SFS",,"ALYSSA",,,,,,"Requested by 
Adam C, Steven St. John (TBD)
Topic : 
Action :
Jesse M",,"107",,
"ESRI User Conference 2026","ESRI26",,"Existing","7/13/2026","7/17/2026","USA","Known","[""Exhibition""]","111 Harbor Dr","San Diego","CA","USA","San Diego Convention Center","https://www.esri.com/en-us/about/events/uc/overview",,,"Planning","ADG","SFS",,"ALYSSA",,,,,,"Requested by:
BL: SFS
Topic : 
Action :",,"142",,
"SMD Symposium 2026","SMD26",,"Existing","9/11/2026","9/13/2026","USA","Known","[""Exhibition""]","700 Monroe St SW","Huntsville","AL","USA","Von Braun Center","https://smdsymposium.org/",,,"Planning","ADG","SFS",,"ALYSSA",,,,,,"Requested by:
BL: SFS
Topic : 
Action :
Jesse M, Patrick M
7 total from DSI 
(SFS, Engines, DSI, T&T)",,"202",,
"AFCEA Technet 2026","AFCEA26",,"NEW","8/17/2026","8/20/2026","USA","Known","[""Walking""]","2 10th St","Augusta","GA","USA","Augusta Marriott at the Convention Center","https://events.afcea.org/Augusta26/Public/enter.aspx",,,"Planning","ADG","SFS",,"ALYSSA",,,,,,"Requested by: Mike M
BL: SFS
Topic : 
Action :
",,"177",,
"AFA 2026","AFA26",,"NEW","9/14/2026","9/16/2026","USA","Known","[""Exhibition""]","201 Waterfront Street","National Harbor","MD","USA","Gaylord National Resort and Convention Center","https://www.afa.org/air-space-cyber-conference/","10 x 20",,"Planning","ADG","SFS",,"ALYSSA",,,,,,"Requested by: Lee (GEO AI)?
Jesse M.
BL: SFS
Topic : 
Action :",,"205",,
"AOC Symposium","AOCS26",,"NEW","12/8/2026","12/10/2026","USA","Known","[""Walking""]","201 Waterfront Street","National Harbor","MD","USA","Gaylord National Resort & Convention Center","https://crows.org/events/annual-convention-symposium/",,,"Planning","ADG","SFS",,"ALYSSA",,,,,,"Requested by: Adam C
BL: SFS
Topic : 
Action :",,"290",,
"SIBOS 2026","SIBO26",,"Existing","9/28/2026","10/1/2026","USA","Known","[""Walking""]","1901 Convention Cent Dr","Miami Beach","FL","USA","Miami Beach Convention Center","https://www.sibos.com/",,,"Planning","ADG","SFS",,"ALYSSA",,,,,"Financial-network timing accuracy

Secure & trusted PNT for transactions

Data-center synchronization / GNSS resilience","Requested by :
BL: ST4D
Topic :
Action : ",,"219",,
"ITC 2026","ITC26",,"NEW","9/29/2026","10/1/2026","USA","Known","[""Exhibition""]","3950 Las Vegas Blvd S","Las Vegas","NV","USA","Mandalay Bay","https://vegas.insuretechconnect.com/","20 x 30",,"Planning","ADG","SDSI","[""SDSI""]","ALYSSA",,,,,,"Requested by: Mike M
BL: SFS
Topic : 
Action :",,"220",,
"NAB BEIT","NABE26",,"NEW","4/18/2026","4/22/2026","USA","Known","[""Walking"",""Speaking""]",,"Las Vegas","NV","Americas",,"https://www.nabshow.com/las-vegas/",,,,"PNT","ST4D","[""ST4D""]","CAMERON",,,,,,,,"56",,
"PDAC 2026","PDAC26",,"NEW","3/1/2026","3/4/2026","USA","Known","[""Walking""]","Bremner Blvd 222","Toronto","ON","Canada","Metro Toronto Convention Centre","https://pdac.ca/convention-2026",,,,"Mining","ST4D","[""ST4D""]","CAMERON",,,,,,"Requested by Scott M",,"8",,
"DIMDEX 2026","DIM26","2","Existing","1/19/2026","1/22/2026","EMEA","Unknown","[""Exhibition""]",,,,,,"https://dimdex.com/about/",,,"GO","ADG","SED DEF",,"AWA",,,,"Requirements document send to SED for Franck Saudo ","Maritime Defence","""Requested by : N/A - Usual Yearly participation",,"-32",,
" International Armoured Vehicles","IAV26","3","NEW","1/20/2026","1/22/2026","EMEA","Unknown","[""Walking""]",,,,,,,,,"PARTICIPATION CANCELLED","ADG","SED DEF",,"AWA",,,,"If participation confirmed, entrance to be taking care by sales",,"""Requested by : ",,"-31",,
